Ranking,Podcast,Chartable Link,RSS Feed,Political Leaning (Brookings Institute)
1,Pod Save America,https://chartable.com/podcasts/pod-save-america,https://feeds.simplecast.com/dxZsm5kX,More Liberal
2,The Bulwark Podcast,https://chartable.com/podcasts/the-bulwark-podcast,https://audioboom.com/channels/5114286.rss,More Conservative
3,The NPR Politics Podcast,https://chartable.com/podcasts/npr-politics-podcast,https://feeds.npr.org/510310/podcast.xml,NO DATA
4,Tangle,https://chartable.com/podcasts/tangle,https://feeds.acast.com/public/shows/66510864c0852400122bc7be,
5,Bannon's War Room,https://chartable.com/podcasts/war-room-impeachment,https://listen.warroom.org/feed.xml,More Conservative
6,Candace,https://chartable.com/podcasts/candace-1750591415,https://feeds.megaphone.fm/candace,More Conservative
7,Fire and Fury - The Podcast,https://chartable.com/podcasts/fire-and-fury-the-podcast,https://web.archive.org/web/20240928191718/https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/b49fedfe-237a-4f05-a56c-b1700120e288/abfccf1c-5cf0-4e8d-a090-b1700121170d/podcast.rss,
8,Letters from an American ,https://chartable.com/podcasts/letters-from-an-american,https://api.substack.com/feed/podcast/20533.rss,
9,The Rest is Politics: US,https://chartable.com/podcasts/the-rest-is-politics-us,https://feeds.megaphone.fm/GLT5336643697,
10,FiveThirtyEight Politics ,https://chartable.com/podcasts/fivethirtyeight-politics,https://feeds.megaphone.fm/ESP8794877317,
11,Hacks On Tap,https://chartable.com/podcasts/hacks-on-tap-with-david-axelrod-and-mike-murphy,https://audioboom.com/channels/5050689.rss,
12,The Run-Up Podcast,https://chartable.com/podcasts/the-runup,https://feeds.simplecast.com/if2_udHa,
13,The MeidasTouch Podcast,https://chartable.com/podcasts/meidastouch-podcast,https://feeds.megaphone.fm/PDR2572281095,More Liberal
14,Breaking Points with Krystal and Saagar,https://chartable.com/podcasts/breaking-points,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/e7fd5ae7-7621-4e41-9b85-b0ab0164b634/4c1a5135-4197-47c9-b19b-b0ab0164b667/podcast.rss,NO DATA
15,Verdict with Ted Cruz,https://chartable.com/podcasts/verdict-with-ted-cruz,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/2bee9419-43de-46ce-8996-af2a01167517/84cf551f-a33b-41d8-b112-af2a01167541/podcast.rss,More Conservative
16,Raging Moderates with Scott Galloway and Jessica Tarlov,https://chartable.com/podcasts/raging-moderates-with-scott-galloway-and-jessica-tarlov,https://feeds.megaphone.fm/VMP7229898872,
17,Fast Politics with Molly Jong-Fast,https://chartable.com/podcasts/fast-politics-with-molly-jongfast,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/5900456b-1613-453b-b072-af1201655554/e44eee4e-0508-4c4d-bca4-af120165bf69/podcast.rss,
18,The Victor Davis Hanson Show,https://chartable.com/podcasts/the-victor-davis-hanson-show,https://rss.art19.com/the-victor-davis-hanson-show,NO DATA
19,Countdown with Keith Olbermann,https://chartable.com/podcasts/countdown-with-keith-olbermann,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/4cab918b-b4e7-4a21-8300-aec3011bf3f1/e7682aaf-443f-41d8-945f-aec3011c5127/podcast.rss,
20,Politics War Room with James Carville & Al Hunt,https://chartable.com/podcasts/2020-politics-war-room,https://audioboom.com/channels/5033739.rss,
21,The Clay Travis and Buck Sexton Show,https://chartable.com/podcasts/the-rush-limbaugh-show-1498106610,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/57c236de-aec0-46c1-b141-ae3c00026d77/1776c4cc-50a1-410f-a2de-ae3c00026dfa/podcast.rss,
22,Inside Geneva,https://chartable.com/podcasts/inside-geneva,https://feeds.buzzsprout.com/915097.rss,
23,The Political Scene,https://chartable.com/podcasts/the-new-yorker-politics-and-more,http://feeds.feedburner.com/tnypoliticalscene,
24,The President's Daily Brief,https://chartable.com/podcasts/the-presidents-daily-brief,https://feeds.megaphone.fm/THFD6217271651,
25,The Lincoln Project ,https://chartable.com/podcasts/the-lincoln-project,https://rss.pdrl.fm/7f1e15/feeds.megaphone.fm/EMPBC2962078635,
26,Impolitic with John Heilemann,https://chartable.com/podcasts/hell-high-water-with-john-heilemann,https://feeds.megaphone.fm/hell-high-water,
27,Pod Save the World ,https://chartable.com/podcasts/pod-save-the-world,https://feeds.simplecast.com/AeLYwXNc,
28,The Fox News Rundown,https://chartable.com/podcasts/the-fox-news-rundown,https://feeds.megaphone.fm/FOXM1880458659,
29,Ruthless Podcast,https://chartable.com/podcasts/ruthless-1535384390,https://feeds.libsyn.com/498088/rss,NO DATA
30,Risky Business with Nate Silver and Maria Konnikova,https://chartable.com/podcasts/risky-business-with-nate-silver-and-maria-konnikova,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/951120d9-cf6e-4224-93d7-b15c014dcea5/eb5e885e-6644-4680-aec4-b15c0150ffc0/podcast.rss,
31,TRIGGERnometry,https://chartable.com/podcasts/triggerpod,https://feeds.megaphone.fm/AALT9618167458,
32,IHIP News,https://chartable.com/podcasts/ihip-news,https://www.podcastone.com/podcast?categoryID2=2379,
33,Deadline: White House,https://chartable.com/podcasts/deadline-white-house,https://podcastfeeds.nbcnews.com/iDG4OTeq,
34,The Al Franken Podcast,https://chartable.com/podcasts/the-al-franken-podcast,https://rss.art19.com/the-al-franken-podcast,
35,The Dispatch Podcast,https://chartable.com/podcasts/the-dispatch-podcast-1493229344,https://feeds.megaphone.fm/DISPME9513417677,
36,Stay Tuned with Preet ,https://chartable.com/podcasts/stay-tuned-with-preet,https://feeds.megaphone.fm/VMP5489734702,
37,Jack,https://chartable.com/podcasts/mueller-she-wrote,https://feeds.simplecast.com/4v0m0WEY,NO DATA
38,The Five,https://chartable.com/podcasts/the-five-audio-podcast,https://feeds.megaphone.fm/FOXM1155607994,NO DATA
39,The Next Level,https://chartable.com/podcasts/the-next-level-1647085571,https://audioboom.com/channels/5114287.rss,
40,Louder with Crowder ,https://chartable.com/podcasts/louder-with-crowder,https://media.rss.com/louder-with-crowder/feed.xml,
41,The David Pakman Show,https://chartable.com/podcasts/the-david-pakman-show,https://davidpakman.libsyn.com/rss,NO DATA
42,#SistersInLaw,https://chartable.com/podcasts/sistersinlaw-1551206847,https://audioboom.com/channels/5043432.rss,NO DATA
43,X22 Report,https://chartable.com/podcasts/x22-report,https://x22report.com/feed/podcast/,NO DATA
44,The Hew Hewitt Show,https://chartable.com/podcasts/hugh-hewitt-podcast,https://www.omnycontent.com/d/playlist/5e27a451-e6e6-4c51-aa03-a7370003783c/32413cd1-5c42-4309-8dd3-a8400005b231/f78a8a7c-86bf-4bdf-8b40-a8400005b231/podcast.rss,
45,Tim Pool Daily News,https://chartable.com/podcasts/tim-pool-daily-show,https://feeds.megaphone.fm/RSV6492283480,
46,Stay Free with Russell Brand,https://chartable.com/podcasts/subcutaneous,https://feed.podbean.com/stayfreepodcastwithrussellbrand/feed.xml,NO DATA
47,Talking Feds,https://chartable.com/podcasts/talking-feds-1456045551,https://rss.art19.com/talking-feds,
48,Political Gabfest,https://chartable.com/podcasts/political-gabfest,https://feeds.megaphone.fm/slatespoliticalgabfest,
49,Perino on Politics,https://chartable.com/podcasts/perino-on-politics,https://feeds.megaphone.fm/FOXM2251224043,
50,Rick Wilson's The Enemies List ,https://chartable.com/podcasts/rick-wilsons-the-enemies-list,https://rss.pdrl.fm/3db3bd/feeds.megaphone.fm/EMPBC3987758372,
51,Inside with Jen Psaki ,https://chartable.com/podcasts/inside-with-jen-psaki,https://podcastfeeds.nbcnews.com/vA1gc2kQ,
52,Radio Atlantic,https://chartable.com/podcasts/radio-atlantic,https://feeds.megaphone.fm/radioatlantic,
53,The Rest Is Politics,https://chartable.com/podcasts/the-rest-is-politics,https://feeds.megaphone.fm/GLT9190936013,NO DATA
54,We Live Here Now,https://chartable.com/podcasts/we-live-here-now,https://feeds.megaphone.fm/weliveherenow,
55,Prosecuting Donald Trump,https://chartable.com/podcasts/prosecuting-former-president-trump,https://podcastfeeds.nbcnews.com/qjknXbdF,
56,All In with Chris Hayes,https://chartable.com/podcasts/all-in-with-chris-hayes,https://podcastfeeds.nbcnews.com/K5Wu8vub,More Liberal
57,No Lie with Brian Tyler Cohen,https://chartable.com/podcasts/no-lie-with-brian-tyler-cohen,https://rss.art19.com/no-lie,
58,THE DAILY BLAST with Greg Sargent,https://chartable.com/podcasts/the-daily-blast-with-greg-sargent,https://feeds.megaphone.fm/dailyblast2024,
59,The Focus Group Podcast,https://chartable.com/podcasts/the-focus-group-with-sarah-longwell,https://audioboom.com/channels/5114313.rss,
60,Americas ,https://chartable.com/podcasts/americast-1473150244,https://podcasts.files.bbci.co.uk/p07h19zz.rss,
61,The Benny Show,https://chartable.com/podcasts/the-benny-show,https://feeds.megaphone.fm/BENNYMED7549931483,
62,Autocracy in America ,https://chartable.com/podcasts/autocracy-in-america,https://feeds.megaphone.fm/autocracyinamerica,
63,NBC Nightly News with Lester Holt,https://chartable.com/podcasts/nbc-nightly-news,https://podcastfeeds.nbcnews.com/l7jK75d0,
64,Future of Freedom,https://chartable.com/podcasts/future-of-freedom,https://anchor.fm/s/a3456340/podcast/rss,
65,The Wright Report ,https://chartable.com/podcasts/the-wright-report,https://feeds.libsyn.com/476352/rss,
66,Brian Kilmeade Show,https://chartable.com/podcasts/the-brian-kilmeade-show-free-podcast,https://feeds.megaphone.fm/FOXM7347044097,
67,The Sean Spicer Show,https://chartable.com/podcasts/the-sean-spicer-show,https://feeds.megaphone.fm/seanspicershow,
68,The Remnant with Jonah Goldberg,https://chartable.com/podcasts/the-remnant-with-jonah-goldberg,https://feeds.megaphone.fm/DISPME4897766830,
69,RealClearPolitics Podcast,https://chartable.com/podcasts/realclearpolitics-takeaway,https://feeds.simplecast.com/pzzjlbXr,
70,Candace Owens,https://chartable.com/podcasts/candace,https://feeds.simplecast.com/HKIkuyHi,
71,Know Your Enemy ,https://chartable.com/podcasts/know-your-enemy,https://feeds.simplecast.com/MQHnVVgK,
72,Mea Culpa ,https://chartable.com/podcasts/mea-culpa-1714009198,https://feeds.megaphone.fm/meaculpapodcast,
73,The Warning with Steve Schmidt,https://chartable.com/podcasts/the-warning-with-steve-schmidt,https://feeds.simplecast.com/fsazhzX2,
74,John Solomon Reports,https://chartable.com/podcasts/john-solomon-reports,https://rss.art19.com/john-solomon-reports,
75,Polling Plus with Matt Towery and Robert Cahaly ,https://chartable.com/podcasts/polling-plus,https://feeds.megaphone.fm/SHDI9831968781,
76,George Conway Explains It All,https://chartable.com/podcasts/george-conway-explains-it-all-to-sarah-longwell,https://audioboom.com/channels/5124335.rss,
77,This Week with George Stephanopuolos,https://chartable.com/podcasts/this-week-with-george-stephanopoulos,https://feeds.megaphone.fm/ESP8760518499,
78,Playbook Deep Dive,https://chartable.com/podcasts/politicos-nerdcast,https://feeds.simplecast.com/_KHnZ26g,
79,The Majority Report with Sam Seder ,https://chartable.com/podcasts/the-majority-report-with-sam-seder,https://majorityfm.libsyn.com/rss,
80,The Good Liars Tell The Truth,https://chartable.com/podcasts/the-good-liars-tell-the-truth,https://media.rss.com/thegoodliars/feed.xml,
81,The Michael Steele Podcast,https://chartable.com/podcasts/man-of-steele,https://www.spreaker.com/show/3668522/episodes/feed,
82,Face the Nation with Margaret Brennan,https://chartable.com/podcasts/face-the-nation-on-the-radio,https://rss.art19.com/face-the-nation,
83,The Campaign Moment,https://chartable.com/podcasts/the-campaign-moment,https://podcast.posttv.com/itunes/the-campaign-moment.xml,
84,Velshi,https://chartable.com/podcasts/velshi,https://podcastfeeds.nbcnews.com/K3WvYqzR,
85,System Update with Glenn Greenwald,https://chartable.com/podcasts/system-update-with-glenn-greenwald-1669610956,https://feeds.megaphone.fm/glenngreenwald,
86,That Trippi Show,https://chartable.com/podcasts/that-trippi-show,https://feeds.megaphone.fm/EMPBC7757230545,
87,American Fever Dream,https://chartable.com/podcasts/the-betches-sup-podcast,https://feeds.megaphone.fm/BMLLC6545780571,
88,2WAY,https://chartable.com/podcasts/2way-1744049196,https://anchor.fm/s/f5982a38/podcast/rss,
89,The Smerconish Podcast,https://chartable.com/podcasts/the-smerconish-podcast,https://feeds.simplecast.com/Dv1m2CJC,
90,Human Events Daily with Jack Posobiec,https://chartable.com/podcasts/human-events-daily-with-jack-posobiec,https://feeds.buzzsprout.com/1850247.rss,
91,The Ben Ferguson Podcast,https://chartable.com/podcasts/ben-ferguson-morning-update,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/34373f93-08ba-4c30-96b3-ae320005baba/0b88ad87-5e11-4f86-bd28-ae320005badb/podcast.rss,
92,The ReidOut with Joy Reid,https://chartable.com/podcasts/hardball-with-chris-matthews,https://podcastfeeds.nbcnews.com/tmGu6rZq,
93,The Beat with Ari Melber,https://chartable.com/podcasts/the-beat-with-ari-melber,https://podcastfeeds.nbcnews.com/TA5rXVG0,
94,Checks and Balance from The Economist,https://chartable.com/podcasts/checks-and-balance,https://access.acast.com/rss/57cc3c7d-b0fd-4930-9279-4e84c75df457,
95,How to Fix It with John Avlon,https://chartable.com/podcasts/how-to-fix-it-with-john-avlon,https://audioboom.com/channels/5141707.rss,
96,The PoliticsGirl Podcast,https://chartable.com/podcasts/the-politicsgirl-podcast,https://feeds.megaphone.fm/PDR6752590894,
97,Newt's World,https://chartable.com/podcasts/newts-world,https://www.omnycontent.com/d/playlist/e73c998e-6e60-432f-8610-ae210140c5b1/0b197502-72fe-4046-b7b3-ae27016ec147/8b19f8a8-4942-4dd1-b38d-ae27016ec151/podcast.rss,
98,Straight White American Jesus,https://chartable.com/podcasts/straight-white-american-jesus,https://feeds.megaphone.fm/PPY9950636314,
99,Advisory Opinions,https://chartable.com/podcasts/advisory-opinions-1490993194,https://feeds.megaphone.fm/DISPME4573820108,
100,The Home Front,https://chartable.com/podcasts/the-home-front-1765927918,https://feeds.megaphone.fm/thehomefront,